strassenschluessel;bezeichnung
05770000003603611;Berliner Straße
05770000003603612;Blütenstraße
05770000003603613;Brandenburger Ring
05770000003603614;Brunnenallee
05770000003603615;Bünder Straße
05770000003603616;Crollage
05770000003603617;Dammweg
05770000003603618;Dorfstraße
05770000003603619;Dummerter Straße
05770000003603620;Feldmark
05770000003603621;Feldstraße
05770000003603622;Friedensstraße
05770000003603623;Gartenstraße
05770000003603624;Glösinghausen
05770000003603625;Glösinghauser Straße
05770000003603626;Goldener Frieden
05770000003603627;Grenzstraße
05770000003603628;Sonnenweg
05770000003603629;Haberland
05770000003603630;Hartenkampstraße
05770000003603632;Heddinghauser Straße
05770000003603634;Höhenweg
05770000003603635;Hudenbeck
05770000003603636;Im Holz
05770000003603637;Große Aue
05770000003603638;Lerchenweg
05770000003603640;Echterbrocksweg
05770000003603641;Neustadtstraße
05770000003603642;Pfarrstraße
05770000003603643;Rote Erde
05770000003603644;Röthestraße
05770000003603645;Rummeldweg
05770000003603646;Am Großen Garten
05770000003603647;Schwagerhausen
05770000003603648;Sonnenwinkel
05770000003603649;Stattkamp
05770000003603650;Wiehenstraße
05770000003603651;Wilhelm-Busche-Straße
05770000003603652;Wittekindstraße
05770000003603653;Zur Freiheit
05770000003603654;Industriestraße
05770000003603655;Hangesch
05770000003603656;Blasheimer Straße
05770000003603657;Mühlenweg
05770000003603658;Ernst-Ludwig-Straße
05770000003603659;Babel
05770000003603660;Kleiner Garten
05770000003603661;Winkelstraße
05770000003603662;Otto-Hahn-Straße
05770000003603663;Robert-Koch-Straße
05770000003603664;Fasanenweg
05770000003603665;Am Park
05770000003603666;Großer Garten
05770000003603678;Blasheimer Busch
05770000003603679;Generalweg
05770000003603680;Knöttinghauser Weg
05770000003603681;Am Harrenbach
05770000003603682;Am Bruch
05770000003603683;Am Felde
05770000003603684;An der Glocke
05770000003603685;Auf der Heide
05770000003603686;Brückenstraße
05770000003603687;Desteler Weg
05770000003603688;Harmstraße
05770000003603689;Hubertusweg
05770000003603690;Im Erdbrand
05770000003603691;Im Wiesbrock
05770000003603692;Mühlenbrink
05770000003603693;Schloßstraße
05770000003603694;Volkskamp
05770000003603695;Zum Anleger
05770000003603696;Zum Langen Damm
05770000003603697;Zur Alten Brücke
05770000003603731;Am Klingelberg
05770000003603733;An den Quellen
05770000003603734;An der Bahn
05770000003603735;Aueweg
05770000003603736;Bollstraße
05770000003603737;Glockenweg
05770000003603740;Im Hallau
05770000003603742;Im Kamp
05770000003603743;Schützenstraße
05770000003603745;Obernholzweg
05770000003603746;Offelter Dorfstraße
05770000003603747;Im Osttor
05770000003603748;Diekweg
05770000003603749;Balkenkampsweg
05770000003603750;Unterm Brümmel
05770000003603751;Wiehenweg
05770000003603752;Im Woot
05770000003603771;Lilienweg
05770000003603772;Am Kirchplatz
05770000003603773;Am Osttor
05770000003603774;Am Wassergraben
05770000003603775;Drosselweg
05770000003603776;Badstraße
05770000003603777;Rathausstraße
05770000003603778;Beethovenstraße
05770000003603779;Bergstraße
05770000003603780;Börninghauser Weg
05770000003603781;Bremer Straße
05770000003603782;Brümmelstraße
05770000003603783;Dahlienweg
05770000003603784;Eininghauser Weg
05770000003603785;Eisenbahnstraße
05770000003603786;Ernst-Reuter-Straße
05770000003603787;Zum Sonnenbrink
05770000003603788;Goethestraße
05770000003603789;Friedhofstraße
05770000003603790;Blumenstraße
05770000003603791;Grüner Weg
05770000003603792;Hallenstraße
05770000003603793;Haspelstraße
05770000003603794;Hermannstraße
05770000003603795;In der Hegge
05770000003603796;Jahnstraße
05770000003603797;Kampstraße
05770000003603798;Karlstraße
05770000003603799;Kirchstraße
05770000003603800;Am Rathaus
05770000003603801;Webelnweg
05770000003603802;Meisenweg
05770000003603803;Limbergstraße
05770000003603804;Linkenstraße
05770000003603805;Am Hang
05770000003603806;Marktstraße
05770000003603807;Mergelsbrink
05770000003603808;Mindener Straße
05770000003603809;Mozartstraße
05770000003603810;Nelkenweg
05770000003603811;Nordweg
05770000003603812;Offelter Weg
05770000003603813;Osnabrücker Straße
05770000003603814;Pestalozzistraße
05770000003603815;Richard-Wagner-Straße
05770000003603816;Schillerstraße
05770000003603817;Schulweg
05770000003603818;Siedlerstraße
05770000003603819;Spiegelstraße
05770000003603820;St.-Raphaels-Weg
05770000003603821;Südweg
05770000003603822;Tonstraße
05770000003603823;Tulpenweg
05770000003603824;Veilchenweg
05770000003603825;Waldstraße
05770000003603826;Weststraße
05770000003603827;Wilhelmstraße
05770000003603828;Herzogstraße
05770000003603829;Heidestraße
05770000003603830;Ziegeleistraße
05770000003603831;Am Golfplatz
05770000003603832;Bahnhof
05770000003603833;Fliederweg
05770000003603834;Köllings Mühle
05770000003603835;Heuers Kamp
05770000003603836;Am Bache
05770000003603837;Steinmanns Kamp
05770000003603838;Brinkweg
05770000003603839;Bergbrede
05770000003603840;Harlinghauser Kirchweg
05770000003603841;Trotzenburg
05770000003603842;Eibenweg
05770000003603843;Erlenweg
05770000003603844;Schmaler Weg
05770000003603861;Am Denkmal
05770000003603862;Harlinghauser Weg
05770000003603863;Auf der Bake
05770000003603864;Auf der Dasslage
05770000003603865;Auf der Linst
05770000003603867;Bruchweg
05770000003603868;Dahlinghauser Straße
05770000003603869;Dielinger Weg
05770000003603870;Kuckucksweg
05770000003603871;Elsterweg
05770000003603872;Finkenweg
05770000003603874;Im Busche
05770000003603875;Im Weidehorn
05770000003603876;Langenhorstweg
05770000003603877;Leverner Straße
05770000003603878;Vogelpohlsweg
05770000003603879;Knoops Mühle
05770000003603881;Niederheide
05770000003603882;Oberfeld
05770000003603883;Oberheide
05770000003603884;Ortfeldweg
05770000003603885;Obermehner Straße
05770000003603886;Wietkampsweg
057700000036=2982;Bünde - Bassum
057700000036=9168;Holzhausen - Bohmte
