strassenschluessel;bezeichnung
05914000000000213;Elmenhorststraße
05914000000000214;Elsa-Brändström-Weg
05914000000000215;Elsässer Straße
05914000000000216;Elsenbornstraße
05914000000000217;Emilienplatz
05914000000000218;Emster Siepen
05914000000000219;Emster Straße
05914000000000220;Endte
05914000000000221;Engelsgasse
05914000000000222;Enneper Straße
05914000000000223;Eppenhauser Straße
05914000000000224;Erftstraße
05914000000000225;Erikastraße
05914000000000226;Erleystraße
05914000000000227;Erlhagen
05914000000000228;Ernststraße
05914000000000229;Espenweg
05914000000000230;Eugen-Richter-Straße
05914000000000231;Eugen-Richter-Turm
05914000000000232;Eupenstraße
05914000000000233;Ewaldstraße
05914000000000235;Universitätsstraße
05914000000000236;Fahrenbecke
05914000000000237;Falkenstraße
05914000000000238;Fehrbelliner Straße
05914000000000239;Feithstraße
05914000000000240;Feldmarkweg
05914000000000241;Feldmühlenstraße
05914000000000242;Liebfrauenstraße
05914000000000243;Felsenstraße
05914000000000244;Felsental
05914000000000245;Ferlachstraße
05914000000000246;Fichtengrund
05914000000000247;Finkenkampstraße
05914000000000248;Fischerstraße
05914000000000249;Flensburgstraße
05914000000000250;Fleyer Straße
05914000000000251;Fliederstraße
05914000000000252;Flurstraße
05914000000000253;Forststraße
05914000000000254;Zedernweg
05914000000000255;Frankfurter Straße
05914000000000256;Franklinstraße
05914000000000257;Frankstraße
05914000000000258;Franziskanerstraße
05914000000000259;Franzstraße
05914000000000260;Fraunhoferstraße
05914000000000261;Freibad Hestert
05914000000000262;Freiburger Straße
05914000000000263;Freiherr-vom-Stein-Straße
05914000000000264;Freiligrathstraße
05914000000000265;Friedensplatz
05914000000000266;Friedensstraße
05914000000000267;Friedhofsweg
05914000000000268;Friedrich-Ebert-Platz
05914000000000269;Friedrichstraße
05914000000000270;Fritz-Killing-Straße
05914000000000271;Fritz-Reuter-Straße
05914000000000272;Fuhrparkstraße
05914000000000273;Funckestraße
05914000000000274;Funckenhausen
05914000000000275;Gabelsbergerplatz
05914000000000276;Gabelsbergerstraße
05914000000000277;Elbershallen
05914000000000278;Elmarweg
05914000000000279;Gehrstraße
05914000000000280;Gellertweg
05914000000000281;Georgstraße
05914000000000282;Geranienweg
05914000000000283;Gerberstraße
05914000000000284;Gerhart-Hauptmann-Straße
05914000000000285;Gerichtsstraße
05914000000000286;Gertrudstraße
05914000000000287;Geschwister-Scholl-Straße
05914000000000288;Ginsterheide
05914000000000289;Gluckstraße
05914000000000290;Glücksburgstraße
05914000000000291;Gneisenaustraße
05914000000000292;Goebenstraße
05914000000000293;Gösselnhof
05914000000000294;Goethestraße
05914000000000295;Goldberg
05914000000000297;Goldbergstraße
05914000000000298;Goldene Pforte
05914000000000299;Goswinstraße
05914000000000300;Gottfried-Keller-Straße
05914000000000301;Grabenstraße
05914000000000302;Graf-von-Galen-Ring
05914000000000303;Graf-von-Stauffenberg-Straße
05914000000000304;Hinter den Gärten
05914000000000305;Grazer Straße
05914000000000306;Grenzweg
05914000000000307;Grimmestraße
05914000000000308;Großer Kamp
05914000000000309;Hermesstraße
05914000000000310;Grubenstraße
05914000000000311;Gründelbusch
05914000000000312;Grünstraße
05914000000000313;Grüntaler Straße
05914000000000314;Grummertstraße
05914000000000315;Grundschötteler Straße
05914000000000315;Grundschötteler Straße
05914000000000316;Gußstahlweg
05914000000000317;Gustavstraße
05914000000000318;Gutenbergstraße
05914000000000319;Gut Hausen
05914000000000320;Betty-Brandt-Weg
05914000000000321;Gut Schönfeld
05914000000000322;Händelstraße
05914000000000323;Haenelplatz
05914000000000324;Haenelstraße
05914000000000325;Hagener Straße
05914000000000326;Haldener Straße
05914000000000327;Hameckestraße
05914000000000328;Hammacherstraße
05914000000000329;Hammersteinstraße
05914000000000330;Hammerstraße
05914000000000331;Hampe
05914000000000332;Hardenbergstraße
05914000000000333;Büddinghardt
05914000000000334;Harkortstraße
05914000000000335;Hartmannstraße
05914000000000336;Hasencleverstraße
05914000000000337;Hasenlauf
05914000000000338;Hasperbruch
05914000000000339;Hasselstraße
05914000000000340;Haßleyer Straße
05914000000000341;Haus Busch
05914000000000342;Haus Elfriedenhöh
05914000000000343;Haus Harkorten
05914000000000344;Haus Ruhreck
05914000000000345;Auf der Hebbecke
05914000000000346;Heckenweg
05914000000000347;Hegelstraße
05914000000000348;Hegge
05914000000000349;Heidbrache
05914000000000350;Rathausstraße
05914000000000351;Heidnocken
05914000000000352;Heigarenweg
05914000000000353;Heilig-Geist-Straße
05914000000000354;Heimstatt
05914000000000355;Heinitzstraße
05914000000000356;Heinrichstraße
05914000000000357;Heinrich-Zille-Straße
05914000000000358;Helfer Straße
05914000000000359;Hellweg
05914000000000360;Helmholtzstraße
05914000000000361;Hengsteyer Straße
05914000000000362;Henrichsiepen
05914000000000363;Henschelstraße
05914000000000364;Herbecker Weg
05914000000000365;Herdecker Straße
05914000000000366;Herderstraße
05914000000000367;Hermannstraße
05914000000000368;Hermann-Sudermann-Straße
05914000000000369;Hestertstraße
05914000000000370;Heubingstraße
05914000000000371;Heuerfeld
05914000000000372;Hilgenland
05914000000000373;Hindenburgstraße
05914000000000374;Hochstraße
05914000000000376;Höhwaldstraße
05914000000000377;Handwerkerstraße
05914000000000378;Hönnestraße
05914000000000379;Hördenstraße
05914000000000380;Hövelstraße
05914000000000381;Hofstraße
05914000000000382;Hoheleye
05914000000000383;Hohenfor
05914000000000385;Kuhlen Hardt
05914000000000386;Hohensyburgstraße
05914000000000387;Hohenzollernstraße
05914000000000388;Hohle Straße
05914000000000389;Holbeinstraße
05914000000000390;Holthauser Straße
05914000000000391;Holunderweg
05914000000000392;Holzmüllerstraße
05914000000000393;Hospitalstraße
05914000000000394;Houbenstraße
05914000000000395;Hovestadtstraße
05914000000000396;Hubertusstraße
05914000000000397;Hügelstraße
05914000000000398;Hülsbergstraße
05914000000000399;Hüsteystraße
05914000000000400;Hüttenbergstraße
05914000000000401;Hugo-Preuß-Straße
05914000000000402;Humboldtstraße
05914000000000403;Hummelbachstraße
05914000000000404;Humpertstraße
05914000000000405;Hunsrückstraße
05914000000000406;Husterstraße
05914000000000407;Im Alten Holz
05914000000000408;Heugarten
05914000000000409;Im Dahl
05914000000000410;Im Deerth
05914000000000411;Im Dünningsbruch
05914000000000412;Im Eichenwald
05914000000000413;Im Ennepetal
05914000000000414;Im Erlenbusch
05914000000000415;Im Gärtchen
05914000000000416;Pfarrer-Wilhelm-Bolte-Platz
05914000000000417;Im Hamperbach
05914000000000418;Im Hanewinkel
05914000000000419;Im Hördenbruch
05914000000000420;Imkerweg
05914000000000421;Im Kettelbach
05914000000000422;Im Kursbrink
05914000000000423;Im Langen Lohe
05914000000000424;Im Langenstück
05914000000000425;Im Lindental
05914000000000426;Im Lonscheid
05914000000000427;Im Markstein
05914000000000428;Im Mühlenwert
05914000000000429;Im Rosengarten
05914000000000430;Im Stell
05914000000000431;Im Strang
05914000000000432;Im Teitlande
05914000000000433;Im Voßhegte
05914000000000434;Im Werth
05914000000000435;Im Wiesengrund
05914000000000436;In den Erlen
05914000000000437;In der Beike
05914000000000438;In der Geweke
05914000000000439;In der Halle
05914000000000440;In der Hemke
05914000000000441;In der Hülsche
05914000000000442;In der Imke
05914000000000443;In der Luke
05914000000000444;In der Senke
05914000000000445;In der Welle
05914000000000446;Intzestraße
05914000000000447;Riepenberg
05914000000000448;Museumsplatz
05914000000000450;Jägerstraße
05914000000000451;Masurenstraße
05914000000000452;Jakobstraße
05914000000000453;Johann-Gottlieb-Fichte-Straße
05914000000000454;Jugendstraße
05914000000000455;Julius-Leber-Straße
05914000000000456;Jungfernbruch
05914000000000457;Kabeler Straße
05914000000000458;Käthe-Kollwitz-Straße
05914000000000459;Käsbergstraße
05914000000000460;Kaiser-Friedrich-Pfad
05914000000000461;Kaiser-Friedrich-Turm
05914000000000462;Platz der Impulse
05914000000000463;Kammannstraße
05914000000000464;Kampstraße
05914000000000465;Kantstraße
05914000000000466;Kapellenstraße
05914000000000467;Karl-Ernst-Osthaus-Straße
05914000000000468;Karl-F.-Goerdeler-Straße
05914000000000469;Karl-Halle-Straße
05914000000000470;Karl-Marx-Straße
05914000000000471;Karlstraße
05914000000000472;Kattenohl
05914000000000473;Kattenohler Straße
05914000000000474;Kettelerstraße
05914000000000475;Kiesweg
05914000000000476;Kinkelstraße
05914000000000477;Kinzigstraße
05914000000000478;Kipperstraße
05914000000000479;Kirchbergstraße
05914000000000480;Kirchlohweg
05914000000000481;Boeler Kirchplatz
05914000000000482;Kirchstraße
05914000000000483;Kirmesplatz
05914000000000484;Kläranlage Vorhalle
05914000000000485;Kläranlage Boele
05914000000000486;Klagenfurtstraße
05914000000000487;Kleinbahnstraße
05914000000000488;Kleine Straße
05914000000000489;Kleiststraße
05914000000000490;Klippchen
05914000000000491;Klopstockstraße
05914000000000492;Klosterstraße
05914000000000493;Thünenstraße
05914000000000494;Klutertweg
05914000000000495;Kniestraße
05914000000000496;Knippschildstraße
05914000000000497;Knüwenstraße
05914000000000498;Kochstraße
05914000000000499;Köckingstraße
05914000000000500;Köhlerweg
05914000000000501;Kölner Straße
05914000000000502;Akazienweg
05914000000000503;Königstraße
05914000000000504;Körnerstraße
05914000000000505;Kolbenstraße
05914000000000506;Kolmarer Straße
05914000000000507;Konkordiastraße
05914000000000508;Kornstraße
05914000000000509;Krähenweg
05914000000000510;Krähnockenstraße
05914000000000511;Krambergstraße
05914000000000512;Kratzkopfstraße
05914000000000513;Krefelder Straße
05914000000000514;Kreishausstraße
05914000000000515;Kreuzweg
05914000000000516;Küferstraße
05914000000000517;Külpestraße
05914000000000518;Kuhlestraße
05914000000000519;Gut Kuhweide
05914000000000520;Kurfürstenstraße
05914000000000522;Kurze Straße
05914000000000523;Laake
05914000000000524;Lahnstraße
05914000000000525;Langenbeckstraße
05914000000000526;Lange Straße
05914000000000527;Lassallestraße
05914000000000528;Leiblstraße
05914000000000529;Leibnizstraße
05914000000000530;Leimstraße
05914000000000531;Lenaustraße
05914000000000532;Lennestraße
05914000000000533;Lennefährenweg
05914000000000534;Lenzmannstraße
05914000000000535;Leopoldstraße
05914000000000536;Lerchenfeld
05914000000000537;Lessingstraße
05914000000000538;Liebigstraße
05914000000000539;Lilienstraße
05914000000000540;Lilienthalstraße
05914000000000541;Lindenstraße
05914000000000542;Linzer Straße
05914000000000543;Lippestraße
05914000000000544;Lönsweg
05914000000000545;Lohestraße
05914000000000546;Lothringer Straße
05914000000000547;Louise-Märcker-Straße
05914000000000548;Loxbaumstraße
05914000000000549;Linnenkamp
05914000000000550;Lücköge
05914000000000551;Lüling
05914000000000552;Lütkenheider Straße
05914000000000553;Lützowstraße
05914000000000554;Glockenstück
05914000000000555;Luisenstraße
05914000000000556;Lukasstraße
05914000000000557;Lycker Straße
05914000000000558;Mäckingerbach
05914000000000559;Märkische Straße
05914000000000560;Mainstraße
05914000000000561;Mallnitzer Straße
05914000000000562;Malmedystraße
05914000000000563;Malmkestraße
05914000000000564;Margaretenstraße
05914000000000565;Marienstraße
05914000000000566;Markanaplatz
05914000000000567;Markanastraße
05914000000000568;Paul-Schulte-Weg
05914000000000569;Martin-Luther-Straße
05914000000000570;Sparkassen-Karree
05914000000000571;Mauerstraße
05914000000000572;Max-Beckmann-Straße
05914000000000573;Max-Planck-Straße
05914000000000574;Mecklenburger Straße
05914000000000575;Memeler Straße
05914000000000576;Metzer Straße
05914000000000577;Michaelstraße
05914000000000578;Milchenbach
05914000000000579;Minervastraße
05914000000000580;Mittelstraße
05914000000000581;Möllenhofstraße
05914000000000582;Mörikeweg
05914000000000583;Mollstraße
05914000000000584;Moltkestraße
05914000000000585;Monschauer Straße
05914000000000586;Mopsweg
05914000000000587;Moselstraße
05914000000000588;Lortzingstraße
05914000000000589;Mühlenbrinkstraße
05914000000000590;Mühlenstraße
05914000000000591;Mühlhauser Straße
05914000000000592;Eduard-Müller-Straße
05914000000000593;Murgstraße
05914000000000594;Nachtigallenstraße
05914000000000595;Nahestraße
05914000000000596;Natorpstraße
05914000000000597;Neckarstraße
05914000000000598;Nelkenstraße
05914000000000599;Neue Straße
05914000000000600;Neumarktstraße
05914000000000601;Niedernhofstraße
05914000000000602;Niederste Hülsberg
05914000000000603;Nockenwiese
05914000000000604;Nöckel
05914000000000605;Nöhstraße
05914000000000606;Nordstraße
05914000000000607;Oberer Altlohweg
05914000000000608;Obere Stormstraße
05914000000000609;Obere Wasserstraße
05914000000000610;Oberste Hülsberg
05914000000000611;Odenwaldstraße
05914000000000612;Oedenburgstraße
05914000000000613;Oedeweg
05914000000000614;Ophauser Straße
05914000000000615;Ostpreußenstraße
05914000000000616;Osthofstraße
05914000000000617;Ottostraße
05914000000000618;Overbergstraße
05914000000000619;Pappelstraße
05914000000000620;Parkhaus
05914000000000621;Papenstück
05914000000000622;Paschestraße
05914000000000623;Pelmkestraße
05914000000000624;Pettenkoferstraße
05914000000000625;Pfadstraße
05914000000000626;Pfälzer Straße
05914000000000627;Pfauenweg
05914000000000628;Pfarrweg
05914000000000629;Pfefferstück
05914000000000630;Philippstraße
05914000000000631;Piepenbrink
05914000000000632;Pieperstraße
05914000000000633;Pivitt
05914000000000634;Plessenstraße
05914000000000635;Pommernstraße
