057620000028N0560;Im Tappenheck
057620000028N0565;Langen Hof
057620000028N0570;Ringstraße
057620000028N0575;Schützenstraße
057620000028N0600;Alter Kirchweg
057620000028N0610;Am Eisberg
057620000028N0620;Am Osterberg
057620000028N0630;Amselring
057620000028N0640;Driburger Straße
057620000028N0650;Im Brink
057620000028N0655;Im Bruch
057620000028N0660;Im Gänsewinkel
057620000028N0670;Mühlengrund
057620000028N0680;Zur Bleiche
057620000028N0700;Am Feuerteich
057620000028N0710;Am Kirchplatz
057620000028N0720;Am Varusberg
057620000028N0730;An der Schule
057620000028N0740;Brinksweg
057620000028N0750;Emmerkämpe
057620000028N0760;Gut Oeynhausen
057620000028N0770;Haarkamp
057620000028N0775;Im Mühlenfeld
057620000028N0780;Landstraße
057620000028N0790;Mühlenweg
057620000028N0800;Sieksweg
057620000028N0810;Trift
057620000028N0820;Uikern
057620000028N0830;Zur Tweete
057620000028N1000;Abt-Warin-Weg
057620000028N1010;Adolph-Kolping-Straße
057620000028N1020;Agathaweg
057620000028N1040;Am Brodberg
057620000028N1050;Am Enskeberg
057620000028N1060;Am Holsterberg
057620000028N1070;Am Jüdischen Friedhof
057620000028N1120;Am Pohl
057620000028N1140;Am Sauerbeutel
057620000028N1150;Amselweg
057620000028N1160;Am Steinbrink
057620000028N1170;Am Teich
057620000028N1180;Bergstraße
057620000028N1200;Bredenborner Straße
057620000028N1220;Brünster Hof
057620000028N1230;Buchenweg
057620000028N1240;Christian-Ruberg-Straße
057620000028N1250;Dammweg
057620000028N1255;Dietrich-de-Niem-Weg
057620000028N1260;Drosselweg
057620000028N1270;Ebrock
057620000028N1290;Elmarweg
057620000028N1310;Externbrock
057620000028N1320;Finkenweg
057620000028N1330;Finnbrok
057620000028N1340;Friedrich-Wilhelm-Weber-Straße
057620000028N1350;Fulkoweg
057620000028N1360;Gerhart-Hauptmann-Straße
057620000028N1370;Geroweg
057620000028N1400;Haselweg
057620000028N1410;Hildegundeweg
057620000028N1460;In den Langen Breiten
057620000028N1470;In der Laake
057620000028N1500;Lahwiese
057620000028N1520;Landwehr
057620000028N1530;Lange Brede
057620000028N1590;Meisenweg
057620000028N1600;Nachtstall
057620000028N1670;Osningweg
057620000028N1710;Piepenborn
057620000028N1760;Rotdornweg
057620000028N1770;Sägemühlenweg
057620000028N1790;Schlehenweg
057620000028N1800;Siebenbergstraße
057620000028N1820;Starenweg
057620000028N1830;Weißdornweg
057620000028N1860;Wellenholzhausen
057620000028N1870;Wiehnhusen
057620000028N1880;Wohnpark
057620000028N1890;Ziegelei Rath
057620000028N1901;Zum langen Weg
057620000028N1910;Zum Masterholz
057620000028N1920;Zimmereiplatz
