strassenschluessel;bezeichnung
05374000002002213;Corneliusstraße
05374000002002214;Dominikus-Böhm-Straße
05374000002002215;Engelbertusstraße
05374000002002217;Höhenweg
05374000002002218;Im Hassel
05374000002002219;Im Löhfeld
05374000002002220;Jan-Wellem-Straße
05374000002002221;Kirchweg
05374000002002222;Kuhlbacher Straße
05374000002002224;Neue Landstraße
05374000002002225;Märker Stahlweg
05374000002002226;Montanusstraße
05374000002002227;Oberhabbach
05374000002002228;Ommerbornstraße
05374000002002229;Pollender Straße
05374000002002230;Ritterbusch
05374000002002231;Römerweg
05374000002002232;Röntgenstraße
05374000002002233;Scheeler Mühle
05374000002002234;Sommerschlade
05374000002002235;St.-Apollinaris-Weg
05374000002002236;Stollenweg
05374000002002237;Van-der-Velden-Straße
05374000002002238;Wolfskuhl
05374000002002239;Zum Hofe
05374000002002240;Zur Landwehr
05374000002002242;Kaiserau
05374000002002243;Oberleppe
05374000002002244;Bergstraße
05374000002002245;Eibusch
05374000002002246;Fenker Heideweg
05374000002002247;Im Grashof
05374000002002248;Im Höngel
05374000002002249;Neuenfelder Straße
05374000002002250;Wiesenstraße
05374000002002251;Zum Hohen Hahn
05374000002002252;Am Acker
05374000002002253;Am Mühlenteich
05374000002002254;An der Mühle
05374000002002255;An der Sülz
05374000002002256;Auenweg
05374000002002257;Frankenberg
05374000002002258;Frielingsdorfer Straße
05374000002002259;Im Großen Garten
05374000002002260;Im Scheurengarten
05374000002002261;Pappelweg
05374000002002262;Buschweg
05374000002002263;Zum Siefen
05374000002002264;Zum Vogelberg
05374000002002265;Zur Steinbrache
05374000002002266;Alte Landstraße
05374000002002267;Hof Heidchen
05374000002002268;Unterer Kampacker
05374000002002269;Brunnenweg
05374000002002271;Eibacher Hammer
05374000002002272;Eibachstraße
05374000002002273;Am Dornbusch
05374000002002274;Homburger Weg
05374000002002275;Im Pohlergarten
05374000002002276;Im Potthof
05374000002002277;Knappenweg
05374000002002278;Neuenbergstraße
05374000002002279;Schiefbahn
05374000002002280;Am Ackerhof
05374000002002281;Am Weiher
05374000002002282;Zum Bayenhof
05374000002002283;Radeckweg
05374000002002284;Zu den Wiesen
05374000002002285;Zum Birnbaum
05374000002002286;Remshagener Straße
05374000002002287;Im Kammerfeld
05374000002002288;Rommersberger Weg
05374000002002289;Stockener Weg
05374000002002290;Zum Birkenhof
05374000002002291;Zum Steinbusch
05374000002002297;Berghausen
05374000002002298;Oberbergscheid
05374000002002299;Unterbergscheid
05374000002002300;Oberbilstein
05374000002002301;Botenvellingen
05374000002002302;Bomerich
05374000002002307;Ebbinghausen
05374000002002308;Fahn
05374000002002309;Frielinghausen
05374000002002311;Georghausen
05374000002002314;Herkenhähn
05374000002002316;Hohbusch
05374000002002318;Am Wiedenhof
05374000002002319;Am Lindenbaum
05374000002002321;Hommericher Straße
05374000002002323;Kalkofen
05374000002002325;Kepplermühle
05374000002002327;Hasenweg
05374000002002328;Krähsiefen
05374000002002330;Leienhöhe
05374000002002332;Lennefer Mühle
05374000002002334;Müllemich
05374000002002335;Rehbach
05374000002002336;Sieferhof
05374000002002338;Hochstraße
05374000002002339;Leienhöher Weg
05374000002002340;Schönenborner Weg
05374000002002341;Am Rosenhof
05374000002002342;Gartenstraße
05374000002002343;Im Waldwinkel
05374000002002344;Kutschweg
05374000002002345;Lindlarer Straße
05374000002002346;Reichenhain
05374000002002347;Schönenborn
05374000002002348;Erlenhof
05374000002002349;Tüschen
05374000002002350;Vellingen
05374000002002351;Im Paradies
05374000002002352;Welzen
05374000002002364;Sebastianusweg
05374000002002365;Im Kisselsgarten
05374000002002370;Burghof
05374000002002371;Laurentiusstraße
05374000002002372;Johann-Breidenassel-Straße
05374000002002373;Loxsiefen
05374000002002376;Auf der Heilen
05374000002002377;Auf der Kampe
05374000002002378;In der Fuhr
05374000002002379;Luttersiefen
05374000002002380;Im Kromsfeld
05374000002002382;Auf den Rotten
05374000002002383;Eschenweg
05374000002002384;Zedernweg
05374000002002385;Holzer Straße
05374000002002387;Burg
05374000002002388;Dornröschenweg
05374000002002389;Rapunzelweg
05374000002002390;Rotkäppchenweg
05374000002002391;Rübezahlweg
05374000002002392;Schneewittchenweg
05374000002002393;Sterntalerweg
05374000002002394;Franz-Martin-Straße
05374000002002395;Wiesberg
05374000002002396;Dr.-Meinerzhagen-Straße
05374000002002397;Carl-Haselbeck-Straße
05374000002002398;Ente
05374000002002399;Schwalbenhof
05374000002002400;Im Katzenloch
05374000002002401;Sauermannweg
05374000002002402;Alte Ommerbornstraße
05374000002002406;Albrecht-Dürer-Straße
05374000002002407;Shaftesburystraße
05374000002002408;Brionner Straße
05374000002002409;Kopernikusstraße
05374000002002410;Heinrich-Heine-Straße
05374000002002411;Ossietzkystraße
05374000002002412;Droste-Hülshoff-Straße
05374000002002420;Am Höfchen
05374000002002424;Am Biesenberg
05374000002002425;Dachsweg
05374000002002426;Schmitzhöhe-Holl
05374000002002427;Zum Eichenhof
05374000002002428;Druckerweg
05374000002002429;Käthe-Kollwitz-Straße
05374000002002430;Roteichenweg
05374000002002431;Schlosserstraße
05374000002002432;Schmiedeweg
05374000002002433;Schreinerweg
05374000002002434;Stellmacherweg
05374000002002435;An der Gasse
05374000002002436;Berghäuschen
05374000002002437;Bonnersüng
05374000002002438;Löhsüng
05374000002002439;Müllerhof
05374000002002440;Oberfeld
05374000002002441;Steinenbrücke
05374000002002442;Waldheim
05374000002002443;Lindenfeld
05374000002002444;Altenhof
05374000002002445;Niederhabbach
05374000002002446;Oberlichtinghagen
05374000002002447;Orbach
05374000002002448;Unterlichtinghagen
05374000002002449;Dassiefen
05374000002002450;Eibach
05374000002002451;Kurfürstenstraße
05374000002002452;Zäunchen
05374000002002453;Im alten Krom
05374000002002455;In der Pleng
05374000002002456;Gerberstraße
05374000002002457;Schuhmacherstraße
05374000002002459;Zur Alten Schule
05374000002002460;Adolph-Kolping-Straße
05374000002002461;Josef-Külheim-Weg
05374000002002462;Auf dem Straßenfeld
05374000002002463;Loxsteeg
05374000002002464;Im Sonnengarten
05374000002002465;In der Korbich
05374000002002466;Auf dem Flux
05374000002002467;Sattlerweg
05374000002002468;Am Weilsberg
05374000002002469;Am Sonnenhang
05374000002002470;Voßbrucher Feld
05374000002002471;Im Winkel
05374000002002472;Lessingweg
05374000002002473;Feilenhauerstraße
05374000002002474;Zum Alten Sportplatz
05374000002002475;Im Obsthof
05374000002002476;Aggerweg
05374000002002477;Ahrweg
05374000002002478;Donauweg
05374000002002479;Elbeweg
05374000002002480;Jubilateweg
05374000002002481;Krähenhof
05374000002002482;Mainweg
05374000002002483;Naheweg
05374000002002484;Ruhrweg
05374000002002485;Siegweg
05374000002002486;Weserweg
05374000002002487;Wupperweg
05374000002002488;Am Hellinger Bach
05374000002002489;Auf dem Brocher Feld
05374000002002490;Zur Hohen Tanne
05374000002002491;Im Feldchens Garten
05374000002002492;Im Blumengarten
05374000002002493;Zur Obstwiese
05374000002002494;Zur Satten Eiche
05374000002002495;Oberer Kampacker
05374000002002496;Drosselweg
05374000002002497;Elsterweg
05374000002002498;Nachtigallenweg
05374000002002499;Starenweg
05374000002002500;Altenrather Weg
05374000002002501;Zum Gartenfeld
05374000002002503;Altenrather Feld
05374000002002504;Rotkehlchenweg
05374000002002505;Paul-Schneider-Straße
05374000002002506;Carola-Lob-Weg
05374000002002507;Am Marktplatz
05374000002002508;Zur Zwergenhöhle
05374000002002509;Pastor-Schneider-Weg
05374000002002510;Dominoweg
05374000002002511;Im Blumengarten
05374000002002512;Pöhler Weg
05374000002002513;Am Berkebach
05374000002002514;Lingenbacher Weg
05374000002002515;Am Alten Friedhof
05374000002002516;Holz-Richter-Straße
05374000002002517;Laurentiusplatz
05374000002002518;Marktgasse
05374000002002520;Am Wald
05374000002002521;Emsweg
05374000002002522;Lippeweg
05374000002002523;Ginsterweg
05374000002002531;Im Holler Feld
05374000002002532;Horpestraße
05374000002099999;fiktiver Straßenschlüssel
