strassenschluessel;bezeichnung
05766000002802858;Kösterberg
05766000002802859;Rickbruch
05766000002802860;Rickstraße
05766000002802861;Tünnerberg
05766000002802870;Am Hüttenberg
05766000002802871;Göstruper Straße
05766000002802872;Grennerberg
05766000002802873;Hagen
05766000002802874;Hüttenhau
05766000002802875;Im Wittensiek
05766000002802876;Malmershaupt
05766000002802877;Reesenberg
05766000002802878;Schmiedeweg
05766000002802879;Spillenweg
05766000002802880;Vogelsang
05766000002802890;Am Laßbach
05766000002802891;Am Sportplatz
05766000002802892;Blomberger Weg
05766000002802893;Bögerhof
05766000002802894;Kükenbrucher Straße
05766000002802895;Neue Wiese
05766000002802896;Nüllbergweg
05766000002802897;Gut Rohbraken
05766000002802898;Sandhöfe
05766000002802899;Schlesier Weg
05766000002802940;Ächternbrede
05766000002802941;Am Park
05766000002802942;Auf den Kämpen
05766000002802943;Brede
05766000002802944;Königsgrund
05766000002802945;Königswiese
05766000002802946;Lange Straße
05766000002802947;Laßbrucher Straße
05766000002802948;Schiefer Brink
05766000002802949;Tiefer Weg
05766000002802950;Zum Freibad
05766000002802951;Blumenland
05766000002802952;Im Busche
05766000002802990;Am Rekersberg
05766000002802991;Am Schneiderbrink
05766000002802992;Buchhalsstraße
05766000002802993;Drömscher Straße
05766000002802994;Holtherrnweg
05766000002802995;Im Fahren
05766000002802996;Im Siek
05766000002802997;Römerweg
05766000002802998;Steckelnbergweg
05766000002802999;Wiemker Weg
05766000002803010;Achtstückenweg
05766000002803011;Am Buchenbusch
05766000002803012;Am Pottberg
05766000002803013;Auf der Hude
05766000002803014;Brückenweg
05766000002803015;Klein Nalhof
05766000002803016;Mischenberg
05766000002803017;Mönkehütte
05766000002803018;Nalhofstraße
05766000002803019;Schneppel
05766000002803020;Stegweg
05766000002803021;Teufelskämpen
05766000002803022;Sommerweg
05766000002803039;In der Weide
05766000002803040;Graf-Uffo-Weg
05766000002803041;Hagendorfer Straße
05766000002803042;Holzbergweg
05766000002803043;Im Alten Gehege
05766000002803044;Im Flinkenhaspel
05766000002803045;Im Hohenröden
05766000002803046;Im Jägerhals
05766000002803047;Im Knapp
05766000002803048;Im Saalberg
05766000002803049;Kiepenböhnen
05766000002803050;Köhlerweg
05766000002803051;Nösingfelder Straße
05766000002803053;Rottstraße
05766000002803054;Steinkampweg
05766000002803056;Sonnenbrink
05766000002803057;Zum Grundberg
05766000002803058;Siegfried-Helbich-Straße
05766000002803059;Zur Mühlegge
05766000002803060;Alter Lemgoer Weg
05766000002803061;Altes Land
05766000002803062;Am Bach
05766000002803063;Apfelkamp
05766000002803064;Auf der Bülte
05766000002803065;August-Wallenstein-Straße
05766000002803066;Bülter Weg
05766000002803067;Dietrich-Bonhoeffer-Straße
05766000002803068;Ellernweg
05766000002803069;Im Graben
05766000002803070;Friedrich-Winter-Straße
05766000002803071;Heidelbecker Holz
05766000002803072;Heidelbecker Straße
05766000002803073;Heinrich-Drake-Straße
05766000002803074;Hinter den Höfen
05766000002803075;Hinter den Weiden
05766000002803076;Industriestraße
05766000002803077;Katerweg
05766000002803078;Hilgenrekte
05766000002803079;Nüllerholzstraße
05766000002803080;Rintelner Weg
05766000002803081;Silixer Hagen
05766000002803082;Schiernbusch
05766000002803083;Schneiderberg
05766000002803084;Willy-Büker-Straße
05766000002803085;Gerhart-Hauptmann-Straße
05766000002803086;Goethestraße
05766000002803087;Hermann-Löns-Straße
05766000002803088;Heinrich-Heine-Straße
05766000002803089;Ludwig-Uhland-Straße
05766000002803090;Alter Postweg
05766000002803091;Drostenhof
05766000002803092;Heinebüchenbruch
05766000002803093;Hölmkeweg
05766000002803094;Reine
05766000002803095;Schönhagener Ring
05766000002803096;Twelen
05766000002803097;Vallentruper Weg
05766000002803098;Wilhelm-Busch-Straße
05766000002803099;Am Kreienbrink
05766000002803100;Zum Silixer Hagen
05766000002803101;Nüllbrink
05766000002803102;Adam-Zeiß-Straße
05766000002803103;Elisabeth-Belling-Straße
057660000028=9176;Bahnlinie Barntrup-Rinteln
