strassenschluessel;bezeichnung
05962000006005320;Deipschlade
05962000006005321;Deipschlader Weg
05962000006005322;Repkering
05962000006005323;Am Waldrand
05962000006005324;Alt-Pungelscheid
05962000006005325;An der Ruthe
05962000006005326;Am Reckenstück
05962000006005327;Auf dem Kopf
05962000006005328;Im Wiesengrund
05962000006005329;In den Weiden
05962000006005330;Unterm Düsternsiepen
05962000006005331;Am Hoffkühl
05962000006005341;Im Winkel
05962000006005342;Osterhardt
05962000006005343;Osmecke
05962000006005344;Im Ehrenfeld
05962000006005345;Blechhammer
05962000006005351;Eickelsborn
05962000006005352;Sommerstraße
05962000006005353;Am Sommerhagen
05962000006005354;Bergstraße
05962000006005355;Mühlenweg
05962000006005356;Otto-Spelsberg-Straße
05962000006005357;Versevörde
05962000006005358;An der Vorthbrücke
05962000006005359;Am Versehang
05962000006005366;Feldstraße
05962000006005367;Am Holte
05962000006005368;Vorthstraße
05962000006005369;Waldstraße
05962000006005370;Zum Winterhagen
05962000006005371;Hermann-Löns-Straße
05962000006005372;Am Riesei
05962000006005373;Schilbergstraße
05962000006005386;Carl-Diem-Straße
05962000006005387;Finkenweg
05962000006005388;Karl-Schloemer-Straße
05962000006005389;Erlhager Weg
05962000006005391;In der Becke
05962000006005401;Oststraße
05962000006005402;Am Nocken
05962000006005403;Im Ohl
05962000006005404;Wintersohl
05962000006005405;Stadionstraße
05962000006005406;Ascheyer Straße
05962000006005407;Am Fahrenstück
05962000006005408;Helleige
05962000006005410;Drosselweg
05962000006005412;Meisenweg
05962000006005413;Starenweg
05962000006005415;Kleiberweg
05962000006005416;Brüninghausstraße
05962000006005417;Über Dachhausen
05962000006005452;Stavenhagener Straße
05962000006005500;Feldlage Werdohl
