05774000004000080;Alte Ziegelei
05774000004000100;Am Brunnen
05774000004000200;Am Friedhof
05774000004000300;Am Hessenbusch
05774000004000350;Am Springsgraben
05774000004000370;Am Steinbruch
05774000004000400;Am Stollen
05774000004000500;Am Walde
05774000004000600;An der Kirche
05774000004000710;Auf den Schächten
05774000004000800;Bleistraße
05774000004000900;Bruchstraße
05774000004001000;Christophorusstraße
05774000004001100;Feldrain
05774000004001210;Forsthaus
05774000004001300;Im Heck
05774000004001350;Potthofsweg
05774000004001400;Roter Landweg
05774000004001500;Spatecke
05774000004001600;Springsweg
05774000004001700;St.-Agatha-Straße
05774000004001800;Tiefer Weg
05774000004001900;Unter der Hütte
05774000004001950;Wiesengrund
05774000004002000;Zum Sauerland
05774000004002100;Zur Glashütte
05774000004002200;Zur Schwelge
05774000004005000;Elisenhof
05774000004005100;Klosterheide
05774000004005200;Friedrichsgrund
05774000004010000;Alte Trift
05774000004010100;Am Kump
05774000004010200;Am Schloßpark
05774000004010300;Antenberg
05774000004010400;Antoniusstraße
05774000004010500;Apothekerstraße
05774000004010600;Auf der Esche
05774000004010700;Auf der Körtge
05774000004010800;Baumschulweg
05774000004010910;Bergheimer Grund
05774000004011000;Birkengrund
05774000004011100;Bleiwäscher Straße
05774000004011200;Brunnenstraße
05774000004011210;Brunnsteinweg
05774000004011250;Clemens-August-Weg
05774000004011300;Eilerner Straße
05774000004011410;Forstenburgstraße
05774000004011500;Freizeitpark
05774000004011605;Glashütte
05774000004011610;Gärtnerstraße
05774000004011700;Glashüttenweg
05774000004011800;Grasweg
05774000004011900;Haarener Straße
05774000004012000;Hahnenberg
05774000004012030;Hedderhagen
05774000004012040;Hexenweg
05774000004012050;Hirsehang
05774000004012100;Höpperfeldweg
05774000004012200;Im Winkel
05774000004012250;In den Gärten
05774000004012300;Karbach
05774000004012400;Kesselbach
05774000004012500;Kirchenfeldweg
05774000004012600;Kirchstraße
05774000004012700;Klimberg
05774000004012750;Klinken Wiese
05774000004012800;Knickweg
05774000004012900;Kolpingstraße
05774000004012950;Kramers Kamp
05774000004013000;Kreuzkamp
05774000004013100;Kurhagen
05774000004013200;Langenweg
05774000004013300;Liboriweg
05774000004013400;Marienstraße
05774000004013510;Marsberger Straße
05774000004013600;Meerhofer Straße
05774000004013700;Nüllberg
05774000004013800;Obere Kampstraße
05774000004013850;Ostring
05774000004013870;Pater-Wilhelm-Schmidt-Weg
05774000004013900;Pellenberg
05774000004014010;Pickelstraße
05774000004014100;Poststraße
05774000004014200;Reisepfad
05774000004014300;Siedlung Eilern
05774000004014400;Sintfeld
05774000004014500;Steinstraße
05774000004014600;Sonnenhang
05774000004014620;Sonnenwinkel
05774000004014700;Tewesweg
05774000004014800;Untere Kampstraße
05774000004014900;Vesperther Trift
05774000004015000;Wasserplatz
05774000004015101;Gut Wohlbedacht
05774000004020000;Adam-Opel-Straße
05774000004020010;Am Sachsbusch
05774000004020020;Alte Genossenschaft
05774000004020100;Asternstraße
05774000004020200;Braukstraße
05774000004020250;Buchenweg
05774000004020300;Bürener Straße
05774000004020400;Dahlienstraße
05774000004020500;Dr.-Ricken-Straße
05774000004020510;Eichenweg
05774000004020600;Fiegenburg
05774000004020700;Fliederstraße
05774000004020800;Fündling
05774000004020900;Fürstenberger Straße
05774000004021000;Gartenweg
05774000004021100;Ginsterstraße
05774000004021200;Glaserweg
05774000004021300;Grüner Weg
05774000004021400;Heckenweg
05774000004021500;Helmerner Straße
05774000004021520;Hinter den Zäunen
05774000004021610;Im Futterloch
05774000004021700;Graf-Zeppelin-Straße
05774000004021800;Karlstraße
05774000004021850;Kastanienweg
05774000004021870;Kattenblick
05774000004021900;Kermelsgrund
05774000004022000;Klus
05774000004022110;Kirchweg
05774000004022130;Koksberg
05774000004022200;Lindenweg
05774000004022250;Lupinenstraße
05774000004022300;Meinolfusstraße
05774000004022400;Mühlenstraße
05774000004022500;Narzissenstraße
05774000004022600;Nelkenstraße
05774000004022700;Neuböddeken
05774000004022800;Nordstraße
05774000004022850;Otto-Lilienthal-Straße
05774000004022900;Paderborner Straße
05774000004022950;Pfauenstraße
05774000004022970;Piepenberg
05774000004023000;Salzbrunnen
05774000004023010;Salmes Feld
