strassenschluessel;bezeichnung
05170000002030726;Kruppstraße
05170000002030727;Krusestraße
05170000002030729;Kuckucksweg
05170000002030731;Kurze Straße
05170000002030737;Laagdickstraße
05170000002030739;Landwehrweg
05170000002030741;Lange Straße
05170000002030743;Leichenweg
05170000002030745;Lerchenweg
05170000002030747;Lessingstraße
05170000002030749;Leuchtstraße
05170000002030751;Lippestraße
05170000002030753;Lotharstraße
05170000002030757;Lumley-Straße
05170000002030759;Malmedystraße
05170000002030761;Maria-Theresien-Straße
05170000002030762;Marie-Curie-Straße
05170000002030763;Marienburger Straße
05170000002030765;Marienstraße
05170000002030767;Markgrafenstraße
05170000002030771;Maxstraße
05170000002030772;Max-Planck-Straße
05170000002030773;Meisenweg
05170000002030775;Memeler Straße
05170000002030776;Michelstein-Straße
05170000002030777;Michaelstraße
05170000002030778;Milanweg
05170000002030779;Millinger Straße
05170000002030780;Mispelweg
05170000002030781;Mittelstraße
05170000002030783;Möhlenkampstraße
05170000002030785;Moerser Straße
05170000002030786;Möwenweg
05170000002030787;Molkereistraße
05170000002030789;Monterkampweg
05170000002030791;Montplanetstraße
05170000002030792;Moosgrund
05170000002030793;Moritzstraße
05170000002030795;Moselweg
05170000002030797;Mühlenstraße
05170000002030803;Nachtigallenweg
05170000002030804;Narzissenweg
05170000002030805;Nelkenweg
05170000002030806;Nelly-Sachs-Weg
05170000002030807;Neuendickstraße
05170000002030809;Neuenroisfeld
05170000002030811;Niederstraße
05170000002030813;Niephauser Straße
05170000002030815;Niersenberger Straße
05170000002030817;Niersenbruchstraße
05170000002030819;Nimmendohrstraße
05170000002030821;Noppicker Weg
05170000002030822;Nordstraße
05170000002030823;Norddeutschlandstraße
05170000002030825;Nordtangente
05170000002030829;Oststraße
05170000002030831;Pallantstraße
05170000002030833;Pannenschopenweg
05170000002030835;Pappelstraße
05170000002030837;Parkstraße
05170000002030839;Paulstraße
05170000002030840;Pelton-Straße
05170000002030841;Pestalozzistraße
05170000002030843;Peterstraße
05170000002030845;Philippstraße
05170000002030847;Plißstraße
05170000002030849;Posener Straße
05170000002030851;Prinzenstraße
05170000002030852;Prinzenplatz
05170000002030853;Provinzialstraße
05170000002030855;Querspange
05170000002030857;Rad-/Gehweg Geisbruch
05170000002030861;Rayer Straße
05170000002030863;Rennweg
05170000002030865;Rheinberger Straße
05170000002030867;Rheinstraße
05170000002030869;Rheurdter Straße
05170000002030869;Rheurdter Straße
05170000002030871;Ringstraße
05170000002030872;Robert-Bosch-Straße
05170000002030873;Röntgenstraße
05170000002030874;Rosenweg
05170000002030876;Rotdornstraße
05170000002030877;Rundstraße
05170000002030883;Saalhoff
05170000002030885;Saalhoffer Straße
05170000002030887;Sandstraße
05170000002030888;Sanddornstraße
05170000002030893;Schanzstraße
05170000002030897;Schlägelstraße
05170000002030899;Schloßallee
05170000002030901;Schluchtweg
05170000002030903;Schürmannshofstraße
05170000002030905;Schulstraße
05170000002030906;Schwalbenweg
05170000002030907;Sichelweg
05170000002030911;Sophiastraße
05170000002030915;Spanische Straße
05170000002030915;Spanische Straße
05170000002030916;Sperberweg
05170000002030917;Sperlingsweg
05170000002030918;Spechtweg
05170000002030923;Stappweg
05170000002030925;Starenweg
05170000002030926;Von-Stauffenberg-Straße
05170000002030927;Steigerweg
05170000002030929;Steinweg
05170000002030931;Steltenbergstraße
05170000002030933;Stephanstraße
05170000002030935;Sternstraße
05170000002030937;Straßburger Straße
05170000002030939;Strohweg
05170000002030941;Sudermannstraße
05170000002030943;Südstraße
05170000002030949;Theodor-Storm-Straße
05170000002030951;Tilsiter Straße
05170000002030953;Tulpenweg
05170000002030956;Uhlandweg
05170000002030959;Vinnmannsweg
05170000002030961;Vinnstraße
05170000002030963;Vluynbuschstraße
05170000002030965;Vogelsangstraße
05170000002030967;Volkenroda-Straße
05170000002030971;Waldweg
05170000002030972;Walkenried-Straße
05170000002030973;Walterstraße
05170000002030975;Weesweg
05170000002030977;Weiler
05170000002030978;Weißdornweg
05170000002030979;Weseler Straße
05170000002030981;Wiesenbruchstraße
05170000002030983;Wilhelminenstraße
05170000002030985;Wilhelm-Raabe-Straße
05170000002030987;Wilhelmstraße
05170000002030989;Winkelstraße
05170000002030995;Xantener Straße
05170000002030996;Zeisigweg
05170000002030997;Zeppelinstraße
05170000002030998;Zum Langerhof
05170000002030999;Zum Niepmannshof
05170000002031000;Zum Landwehrgraben
051700000020=3157;Autobahn Nimwegen-Köln (E31)
