strassenschluessel;bezeichnung
05766000005605264;Lönsweg
05766000005605265;Marianne-Weber-Straße
05766000005605266;Marienstraße
05766000005605267;Marktstraße
05766000005605268;Matthias-Claudius-Weg
05766000005605269;Niedernstraße
05766000005605270;Nonengrund
05766000005605271;Oetenhauser Straße
05766000005605272;Pastorenweg
05766000005605273;Pfarrstraße
05766000005605274;Philosophenweg
05766000005605275;Pipenbrink
05766000005605276;Piperweg
05766000005605277;Postweg
05766000005605278;Rathausstraße
05766000005605279;Ravensberger Straße
05766000005605280;Reichenbacher Straße
05766000005605281;Reuterstraße
05766000005605282;Robert-Koch-Straße
05766000005605283;Sennestraße
05766000005605284;Sophienweg
05766000005605285;Steinbült
05766000005605286;Stukenbrocker Weg
05766000005605287;Theodor-Heuss-Straße
05766000005605288;Theodor-Storm-Weg
05766000005605289;Tönsbergstraße
05766000005605290;Triftweg
05766000005605291;Uhlandweg
05766000005605292;Unter der Howe
05766000005605293;Unter dem Menkhauser Berge
05766000005605294;Von-Stauffenberg-Straße
05766000005605295;Vorm Obernberge
05766000005605296;Waldstraße
05766000005605297;Webereistraße
05766000005605298;Weerthstraße
05766000005605299;Wehme
05766000005605300;Wehrenteich
05766000005605301;Wellenbruch
05766000005605302;Welschenweg
05766000005605303;Wilhelm-Busch-Weg
05766000005605304;Wilhelm-Raabe-Weg
05766000005605305;Zeppelinstraße
05766000005605306;Am Barkhauser Berge
05766000005605307;Steinbruchstraße
05766000005605308;Goethestraße
05766000005605309;Breitenkamp
05766000005605310;Korl-Biegemann-Straße
05766000005605311;Liekefettstraße
05766000005605312;An der Düne
05766000005605315;Küsterfeld
05766000005605316;Agnes-Miegel-Weg
05766000005605317;Am Brachtsberge
05766000005605318;Hellweg
05766000005605319;An der Vogtei
05766000005605320;Obere Senke
05766000005605321;Untere Senke
05766000005605322;Am Kalkofen
05766000005605323;Simonsplatz
05766000005605324;Marktplatz
05766000005605325;Alte Holter Straße
05766000005605326;Wiesenweg
05766000005605327;Am Grund
05766000005605328;Memeler Weg
05766000005605329;Menno-Simons-Weg
05766000005605330;Am Pferdekamp
05766000005605331;Rathausplatz
05766000005605332;Am Weberpark
05766000005605333;Westerheide
05766000005605335;Heinrich-Drake-Platz
057660000056=2984;Bahnlinie Lage-Bielefeld
