strassenschluessel;bezeichnung
05170000004436656;Am Lippekanal
05170000004436657;Am Markt
05170000004436658;Am Tannenbusch
05170000004436659;An der Landwehr
05170000004436660;An der Schule
05170000004436661;Birkenweg
05170000004436662;Blumenanger
05170000004436663;Böskenstraße
05170000004436664;Bogenstraße
05170000004436665;Buchenweg
05170000004436666;Bülowstraße
05170000004436667;Dükerstraße
05170000004436668;Eichenweg
05170000004436669;Ellenbogenstraße
05170000004436670;Fichtenweg
05170000004436671;Föhrenweg
05170000004436672;Frankfurter Straße
05170000004436673;Franzosenstraße
05170000004436674;Gartenstraße
05170000004436675;Ginsterweg
05170000004436676;Goethestraße
05170000004436677;Grenzweg
05170000004436678;Grüner Weg
05170000004436679;Heidestraße
05170000004436680;Heideweg
05170000004436681;Heierfeld
05170000004436682;Heinrichstraße
05170000004436683;Hindenburgstraße
05170000004436684;Holthausener Straße
05170000004436685;Hugo-Mueller-Straße
05170000004436686;Kiefernweg
05170000004436687;Laboratoriumstraße
05170000004436688;Lessingstraße
05170000004436689;Lindenweg
05170000004436690;Lippestraße
05170000004436691;Loefflerstraße
05170000004436692;Mittelstraße
05170000004436693;Nordstraße
05170000004436694;Parkstraße
05170000004436695;Posaunenstraße
05170000004436696;Poststraße
05170000004436697;Rheinstraße
05170000004436698;Schillerstraße
05170000004436699;Schmaler Weg
05170000004436700;Schulweg
05170000004436701;Siedlerweg
05170000004436702;Spellener Straße
05170000004436703;Südstraße
05170000004436704;Tannenweg
05170000004436705;Verbindungsweg
05170000004436706;Von-der-Mark-Straße
05170000004436707;Werkstraße
05170000004436708;Wilhelmstraße
05170000004436709;Ziegelkamp
05170000004436710;Risselweg
05170000004436711;Am Hallenbad
05170000004436712;Rütterstraße
05170000004436713;Gehrstraße
05170000004436714;Hans-Richter-Straße
05170000004436715;Mehrstraße
05170000004436716;Wisselmannweg
05170000004436717;Hoogenweg
05170000004436718;Hügelweg
05170000004436719;Lessingplatz
05170000004436720;Am Nordturm
05170000004436721;An der Wardtpumpe
05170000004436722;Auf dem Kamp
05170000004436723;Fuchskamp
05170000004436724;Hasenkamp
05170000004436725;Igelkamp
05170000004436726;Schepersweg
05170000004436727;Zedernweg
05170000004436728;Kurierweg
05170000004436729;Dachskamp
05170000004436730;Vor dem Wall
05170000004436731;Kastanienallee
05170000004436732;Pappelweg
05170000004436733;Ahornweg
05170000004436734;Erlenweg
05170000004436735;Weidenweg
05170000004436736;Ulmenweg
05170000004436737;Eschenweg
05170000004436738;Zunftweg
05170000004436739;Am Industriepark
05170000004436740;Rotdornweg
05170000004436741;Innungsweg
05170000004436742;Holunderweg
05170000004436743;Schlehenweg
05170000004436744;Brombeerweg
05170000004436850;Ahrstraße
05170000004436851;Am Bahndamm
05170000004436852;Am Biesen
05170000004436853;Am Eichelkamp
05170000004436854;Auf dem Bünder
05170000004436855;Auf der Horst
05170000004436856;Bruchkamp
05170000004436857;Dinslakener Straße
05170000004436858;Frankfurter Straße
05170000004436859;Friedrichstraße
05170000004436860;Hauerlandstraße
05170000004436861;Hindenburgstraße
05170000004436862;Horstweg
05170000004436863;Im Busch
05170000004436864;Kampshof
05170000004436865;Knappenstraße
05170000004436866;Königsberger Straße
05170000004436867;Leitkamp
05170000004436868;Lohberger Straße
05170000004436869;Memellandstraße
05170000004436870;Peerdsbuschweg
05170000004436871;Rahmstraße
05170000004436872;Saarstraße
05170000004436873;Schlesierstraße
05170000004436874;Tilsiter Straße
05170000004436875;Walter-Neuse-Weg
05170000004436876;Tenderingsweg
05170000004436877;Beckedahlshof
05170000004436900;Ackerstraße
05170000004436901;Am Denkmal
05170000004436902;Am Dornbusch
05170000004436903;Am Schied
05170000004436904;Am Uberg
05170000004436905;Annastraße
05170000004436906;Auf der Gest
05170000004436908;Bertastraße
05170000004436909;Böskenstraße
05170000004436910;Boltraystraße
05170000004436911;Bühlstraße
05170000004436912;Drechslerweg
05170000004436913;Elisabethstraße
05170000004436914;Friedrich-Wilhelm-Straße
05170000004436915;Groelberg
05170000004436916;Hahnenberg
05170000004436917;Hahnenstraße
05170000004436918;Hallenstraße
05170000004436919;Handwerkerstraße
05170000004436920;Heinrichstraße
05170000004436921;Hufstraße
05170000004436922;Im Winkel
05170000004436923;In den Weihern
05170000004436924;Kolkstraße
05170000004436925;Kurze Heide
05170000004436926;Laakstraße
05170000004436927;Lütkenstraße
05170000004436928;Malerweg
05170000004436929;Mattesohlenweg
05170000004436930;Mehrstraße
05170000004436931;Mehrumer Straße
05170000004436932;Mühlenberg
05170000004436933;Müssenweg
05170000004436934;Nuykensbusch
05170000004436935;Overbergweg
05170000004436936;Rheinstraße
05170000004436937;Rosenweg
05170000004436938;Sandstraße
05170000004436939;Sattlerweg
05170000004436940;Schafskamp
05170000004436941;Scheltheide
05170000004436942;Schleusenstraße
05170000004436943;Schlosserweg
05170000004436944;Schusterweg
05170000004436945;Schweizer Straße
05170000004436946;Talackerstraße
05170000004436947;Vogellake
05170000004436948;Weseler Straße
05170000004436949;Winkelstraße
05170000004436950;Winkelweg
05170000004436951;Wisselstraße
05170000004436952;Wißlak
05170000004436953;Zimmermannsweg
05170000004436954;Zipperweg
05170000004436955;Auf dem Prickenberg
05170000004436956;Birnbaumweg
05170000004436957;Dommendick
05170000004436958;Hohlackerweg
05170000004436959;Hükelenbrink
05170000004436960;Kemper Weg
05170000004436961;Kutumerweg
05170000004436962;Lehmweg
05170000004436963;Leutnantstraße
05170000004436964;Lohweg
05170000004436966;Schloßstraße
05170000004436967;Schlüsselweg
05170000004436968;Steinbuschweg
05170000004436969;Viehacker
05170000004436970;In der Fleut
05170000004436971;Schoetersweg
05170000004436972;Tischlerweg
05170000004436973;Vor der Düne
05170000004436974;Weihers Hof
05170000004436975;Alte Bühlstraße
051700000044=2270;Eisenbahn Oberhausen-Emmerich
051700000044=2271;Eisenbahn Oberh.-Spellen-Wesel
