057620000032S0029;Anton-Becker-Straße
057620000032S0030;Anton-Spilker-Straße
057620000032S0031;Auf dem Zachel
057620000032S0032;Auf der Schanzen
057620000032S0033;Auf der Frankenburg
057620000032S0034;Auf der Stiegel
057620000032S0035;Auf der Woort
057620000032S0036;August-von-Haxthausen-Straße
057620000032S0037;Bachstraße
057620000032S0038;Bahnhofsallee
057620000032S0039;Bahnhofstraße
057620000032S0040;Beethovenstraße
057620000032S0041;Beim Staumberge
057620000032S0042;Bellenberger Straße
057620000032S0043;Beller Straße
057620000032S0044;Bergesgrund
057620000032S0045;Bergheimer Straße
057620000032S0046;Berghöve
057620000032S0047;Bergkampsweg
057620000032S0048;Bergstraße
057620000032S0049;Billerbecker Straße
057620000032S0050;Bischofstraße
057620000032S0051;Blumenstraße
057620000032S0052;Bornebrucher Weg
057620000032S0053;Bothfeld
057620000032S0054;Breitenhaupter Weg
057620000032S0055;Breslauer Straße
057620000032S0056;Brinkstraße
057620000032S0057;Brockfeldsweg
057620000032S0058;Bruchweg
057620000032S0059;Brucknerstraße
057620000032S0060;Bruderstraße
057620000032S0061;Brunnenstraße
057620000032S0062;Buchentalsweg
057620000032S0063;Bülteweg
057620000032S0064;Burholzweg
057620000032S0065;Detmolder Straße
057620000032S0066;Dionysiusstraße
057620000032S0067;Driburger Straße
057620000032S0068;Echternberg
057620000032S0069;Eggering
057620000032S0070;Eggestraße
057620000032S0071;Eichenstraße
057620000032S0072;Eichendorffstraße
057620000032S0073;Eichholzer Weg
057620000032S0074;Emmerstraße
057620000032S0075;Entruper Weg
057620000032S0076;Erlenweg
057620000032S0078;Feldstraße
057620000032S0079;Finkenstraße
057620000032S0080;Fliederstraße
057620000032S0081;Flurstraße
057620000032S0082;Frankenbergstraße
057620000032S0083;Frankenstraße
057620000032S0084;Franzstraße
057620000032S0085;Friedenstraße
057620000032S0086;Friedhofsweg
057620000032S0087;Friedrich-Wilhelm-Weber-Straße
057620000032S0088;Galgenbusch
057620000032S0089;Galgenkämpen
057620000032S0090;Gartenstraße
057620000032S0091;Georgstraße
057620000032S0092;Germanenstraße
057620000032S0093;Goethestraße
057620000032S0094;Grandweg
057620000032S0095;Grasweg
057620000032S0096;Grebbergstraße
057620000032S0097;Grevenhagener Straße
057620000032S0098;Gutshof
057620000032S0099;Hagedorn
057620000032S0101;Hagedorner Straße
057620000032S0102;Hauptstraße
057620000032S0103;Heckenweg
057620000032S0104;Hegge
057620000032S0105;Heideweg
057620000032S0106;Hellweg
057620000032S0107;Hermann-Tuleke-Straße
057620000032S0108;Heubachstraße
057620000032S0109;Hinter der Kirche
057620000032S0110;Hinter der Mauer
057620000032S0111;Hintere Straße
057620000032S0112;Hochtwiete
057620000032S0113;Hömerberg
057620000032S0114;Hörnsche Breite
057620000032S0115;Höxterstraße
057620000032S0116;Hohenbreden
057620000032S0117;Hohe Straße
057620000032S0118;Hohle Straße
057620000032S0119;Hohlweg
057620000032S0120;Hollentalstraße
057620000032S0121;Holmbachstraße
057620000032S0122;Holterberg
057620000032S0123;Homeweg
057620000032S0124;Hornsche Straße
057620000032S0125;Hospitalstraße
057620000032S0126;Hubertusstraße
057620000032S0127;Im Altenhagen
057620000032S0128;Im Breiten Pool
057620000032S0129;Im Bruch
057620000032S0130;Im Eck
057620000032S0131;Im Fettpott
057620000032S0132;Im Görn
057620000032S0133;Im Haidfeld
057620000032S0134;Im Knick
057620000032S0135;Im Leinenfelde
057620000032S0136;Im Lütken Felde
057620000032S0137;Im mittleren Hollental
057620000032S0138;Im Ort
057620000032S0139;Im Renneborn
057620000032S0140;Im Schildern
057620000032S0141;Im Südfelde
057620000032S0142;Im Teichwasser
057620000032S0143;Im Winkel
057620000032S0144;In der Schwalge
057620000032S0146;Industriestraße
057620000032S0147;Jahnstraße
057620000032S0148;Johannesstraße
057620000032S0149;Josefstraße
057620000032S0150;Kantstraße
057620000032S0151;Kesselecke
057620000032S0152;Kesselstraße
057620000032S0153;Kettelerstraße
057620000032S0154;Kirchplatz
057620000032S0155;Kirchweg
057620000032S0156;Klosterstraße
057620000032S0157;Königsberger Straße
057620000032S0158;Kösliner Straße
057620000032S0159;Kolpingstraße
057620000032S0160;Koobenweg
057620000032S0161;Laakeweg
057620000032S0162;Lange Straße
057620000032S0163;Leopoldstaler Straße
057620000032S0164;Liboriusstraße
057620000032S0165;Lilienstraße
057620000032S0166;Lindenhügel
057620000032S0167;Lindenkamp
057620000032S0168;Lindenstraße
057620000032S0169;Lother Höhe
057620000032S0170;Lother Straße
057620000032S0171;Lukasstraße
057620000032S0172;Marienstraße
057620000032S0173;Marktstraße
057620000032S0174;Menzenbrocker Weg
057620000032S0175;Mittlere Straße
057620000032S0176;Mörthstraße
057620000032S0177;Mozartstraße
057620000032S0178;Neue Straße
057620000032S0179;Nieheimer Straße
057620000032S0180;Nordstraße
057620000032S0181;Obere Straße
057620000032S0182;Oberer Bülteweg
057620000032S0183;Oberer Wiesenweg
057620000032S0184;Osterhome
057620000032S0185;Ostpreußenstraße
