strassenschluessel;bezeichnung
05512000000012261;Clemens-Hofbauer-Straße
05512000000012263;Clemens-Kraienhorst-Straße
05512000000012267;Corinthweg
05512000000012271;Dännenkamp
05512000000012280;Daimlerstraße
05512000000012300;Danziger Straße
05512000000012320;Devensstraße
05512000000012340;Dickebank
05512000000012360;Dieselstraße
05512000000012371;Dinslakener Straße
05512000000012380;Döckelhorst
05512000000012391;Dorfheide
05512000000012401;Dorstener Straße
05512000000012411;Drechslerstraße
05512000000012420;Dresdener Straße
05512000000012431;Dreufte
05512000000012436;Dr.-Kock-am-Brink-Weg
05512000000012440;Drosselweg
05512000000012445;Droßlingstraße
05512000000012460;Droste-Hülshoff-Platz
05512000000012480;Droste-Hülshoff-Straße
05512000000012500;Düppelstraße
05512000000012520;Ebelstraße
05512000000012540;Ehrenplatz
05512000000012560;Eichendorffstraße
05512000000012571;Eichenkamp
05512000000012580;Eichenstraße
05512000000012600;Einbleckstraße
05512000000012611;Ekampsweg
05512000000012613;Elisabeth-Giese-Straße
05512000000012615;Elsweg
05512000000012620;Emscherstraße
05512000000012640;Erlengasse
05512000000012657;Ernst-Ender-Straße
05512000000012660;Ernst-Moritz-Arndt-Straße
05512000000012670;Ernst-Wilczok-Platz
05512000000012680;Essener Straße
05512000000012700;Eupenstraße
05512000000012720;Everstraße
05512000000012740;Fähndrichsweg
05512000000012745;Färberweg
05512000000012751;Falkenweg
05512000000012761;Fasanenweg
05512000000012765;Feldhausener Straße
05512000000012771;Feldstraße
05512000000012780;Fernewaldstraße
05512000000012800;Feuerbachstraße
05512000000012820;Feuerwerkerstraße
05512000000012840;Fichtestraße
05512000000012851;Finkenweg
05512000000012860;Fischedickstraße
05512000000012871;Flasacker
05512000000012880;Flöttestraße
05512000000012886;Florianweg
05512000000012891;Flugplatzstraße
05512000000012900;Förenkamp
05512000000012920;Fontanestraße
05512000000012931;Forststraße
05512000000012940;Fortkamp
05512000000012960;Fortsetzungstraße
05512000000012971;Frankestraße
05512000000012977;Franz-Kafka-Straße
05512000000012978;Franz-May-Platz
05512000000012980;Freiherr-vom-Stein-Straße
05512000000012984;Freiligrathstraße
05512000000012991;Friedenstraße
05512000000012997;Friedrich-Bitter-Weg
05512000000013000;Friedrich-Ebert-Straße
05512000000013015;Fries Kamp
05512000000013021;Fritz-Reuter-Straße
05512000000013040;Fröbelstraße
05512000000013060;Fuchsstraße
05512000000013070;Fundermannsweg
05512000000013080;Funkestraße
05512000000013088;Gabelsbergerstraße
05512000000013091;Gahlener Straße
05512000000013121;Gartenstraße
05512000000013140;Geibelstraße
05512000000013151;Geitlingsweg
05512000000013155;Gerberstraße
05512000000013160;Gerhard-Küchen-Straße
05512000000013180;Gerhart-Hauptmann-Straße
05512000000013200;Gerichtsstraße
05512000000013220;Germaniahof
05512000000013240;Germaniastraße
05512000000013260;Gernotstraße
05512000000013265;Gertskamp
05512000000013270;Geschwister-Scholl-Weg
05512000000013280;Giesenfort
05512000000013285;Giesenheide
05512000000013300;Gildestraße
05512000000013320;Ginsterweg
05512000000013340;Gladbecker Straße
05512000000013351;Glasbläserweg
05512000000013355;Glaserhüttenheide
05512000000013360;Gleiwitzer Platz
05512000000013380;Glückaufstraße
05512000000013400;Goebenstraße
05512000000013420;Görkenstraße
05512000000013440;Goethestraße
05512000000013447;Gohrweide
05512000000013450;Goldammerweg
05512000000013451;Goldbredde
05512000000013460;Gorch-Fock-Straße
05512000000013471;Gottfried-Kappen-Weg
05512000000013480;Gräffstraße
05512000000013481;Gregorstraße
05512000000013485;Grenzstraße
05512000000013491;Grotenweg
05512000000013495;Grüner Weg
05512000000013500;Grünewaldstraße
05512000000013511;Grüteringsfeld
05512000000013520;Grüterstraße
05512000000013540;Güldenberg
05512000000013560;Gungstraße
05512000000013580;Gustav-Freytag-Straße
05512000000013620;Gustav-Ohm-Straße
05512000000013640;Gutenbergstraße
05512000000013660;Haardtstraße
05512000000013665;Habichtweg
05512000000013671;Hackfurthstraße
05512000000013676;Händelstraße
05512000000013680;Hafenstraße
05512000000013700;Hagenbrockstraße
05512000000013720;Hagenstraße
05512000000013740;Hanielstraße
05512000000013780;Hans-Böckler-Straße
05512000000013790;Hans-Dringenberg-Weg
05512000000013800;Hans-Sachs-Platz
05512000000013820;Hans-Sachs-Straße
05512000000013825;Hans-Söller-Platz
