057620000040W0720;Hüssenbergweg
057620000040W0730;Im Bogen
057620000040W0740;Kornhausweg
057620000040W0750;Liboriweg
057620000040W0765;Scherfer Höhe
057620000040W0770;Schöne Aussicht
057620000040W0780;Schönthaler Weg
057620000040W0790;Siekstraße
057620000040W0800;Stubbig
057620000040W0810;Winkelstraße
057620000040W0820;Zum Südholz
057620000040W0830;Zur Mühle
057620000040W1000;Am Hahnenberg
057620000040W1010;Bergstraße
057620000040W1015;Deppenhöfen
057620000040W1016;Engarberg
057620000040W1019;Hilleweg
057620000040W1020;Hoppengrund
057620000040W1023;Hohenwepeler Straße
057620000040W1025;Im Dorf
057620000040W1030;Schulstraße
057620000040W1040;Zum Gutshof
057620000040W1220;Am Hang
057620000040W1225;Am Walmenholz
057620000040W1230;Am Kirchplatz
057620000040W1240;Bredenfeld
057620000040W1250;Burgstätte
057620000040W1260;Giesenberg
057620000040W1265;Gut Haverhausen
057620000040W1270;Hohlweg
057620000040W1275;Hoppenberg
057620000040W1280;Käppelse
057620000040W1285;Zur Mergelmühle
057620000040W1288;Pattenhöfen
057620000040W1290;Schulweg
057620000040W1500;Am Brökel
057620000040W1510;An der Helmerte
057620000040W1520;Haverhausener Weg
057620000040W1530;Hinter den Höfen
057620000040W1540;Johannesweg
057620000040W1550;Kilianstraße
057620000040W1560;Kohlweg
057620000040W1570;Lütke Straße
057620000040W1580;Twisteweg
057620000040W1590;Waldhoffs Weg
057620000040W1595;Zum Jüttebruch
057620000040W1600;Zum Osterberg
057620000040W1610;Zur Alten Mühle
057620000040W1800;Brunnenweg
057620000040W1810;Hallenweg
057620000040W1820;Heggeweg
057620000040W1830;Kapellenweg
057620000040W1840;Lindenweg
057620000040W1850;Markweg
057620000040W1860;Schlurpweg
057620000040W1870;Von-Ike-Straße
057620000040W2090;Alfredshöher Straße
057620000040W2095;Am Berghofe
057620000040W2100;Auf der Walme
057620000040W2110;Bredestraße
057620000040W2120;Eichenweg
057620000040W2130;Gut Alfredshöhe
057620000040W2140;Brunnenstraße
057620000040W2150;Hoddenbergstraße
057620000040W2161;Im Winkel
057620000040W2170;Kaiserstraße
057620000040W2180;Kirchplatz
057620000040W2200;Lindenstraße
057620000040W2210;Reuscherweg
057620000040W2220;Rothestraße
057620000040W2230;Wiesenweg
057620000040W2400;Alte Wiese
057620000040W2410;Am Spielberg
057620000040W2420;Auf dem Anger
057620000040W2430;Auf dem Rahe
057620000040W2438;Döhrenweg
057620000040W2440;Dorfstraße
057620000040W2450;Frohnhausener Straße
057620000040W2460;Hegge
057620000040W2470;Kirchberg
057620000040W2475;Liethof
057620000040W2480;Lützerweg
057620000040W2483;Mühlenbreite
057620000040W2485;Mühlengrund
057620000040W2490;Siddesser Straße
057620000040W2500;Über dem Sieke
057620000040W2510;Zum Alten Dorf
057620000040W2520;Zum Buchholz
057620000040W2600;Abdinghofweg
057620000040W2610;Ächternstraße
057620000040W2613;Adolph Kolping Weg
057620000040W2615;Am Heinebruch
057620000040W2620;Am Löwener Tor
057620000040W2631;Am Markt
057620000040W2640;Am Neuen Teich
057620000040W2650;Am Park
057620000040W2655;Am Rische
057620000040W2660;Amselweg
057620000040W2670;An d. Stadtmauer-Nord
057620000040W2680;An d. Stadtmauer-Süd
057620000040W2690;An d. Stadtmauer-West
057620000040W2693;An St. Marien
057620000040W2694;Bischof Theoderich Weg
057620000040W2695;Bruchhöfe
057620000040W2700;Bruchstraße
057620000040W2710;Burgstraße
057620000040W2720;Driggernweg
057620000040W2730;Eissener Straße
057620000040W2735;Escherhöfen
057620000040W2740;Finkenweg
057620000040W2750;Gartenweg
057620000040W2760;Grundweg
057620000040W2770;Heckerweg
057620000040W2780;Helmernsche Straße
057620000040W2791;Hiddesser Straße
057620000040W2800;Hoppenhof
057620000040W2810;Im Bruch
057620000040W2820;Kampstraße
057620000040W2841;Lange Torstraße
057620000040W2850;Lüsterbach
057620000040W2855;Lützer Park
057620000040W2860;Lützer Straße
057620000040W2870;Neue Bornstraße
057620000040W2880;Niesener Straße
057620000040W2890;Popendiekstraße
057620000040W2895;Prozessionsweg
057620000040W2910;Rosenstraße
057620000040W2920;Schützenstraße
057620000040W2930;Schützenweg
057620000040W2950;Schweckhausener Straße
057620000040W2960;Sonnenbergstraße
057620000040W2965;Steinerner Weg
057620000040W2970;Taufnethe
057620000040W2980;Teichstraße
057620000040W2990;Tiefer Weg
057620000040W2995;Triftkämpe
057620000040W2997;Turmweg
057620000040W3000;Warburger Straße
057620000040W3010;Wassertorstraße
057620000040W3200;Allee
057620000040W3210;Driftweg
057620000040W3220;Fuchsstraße
057620000040W3240;Kirchweg
057620000040W3250;Langenthal
057620000040W3260;Mühlenweg
057620000040W3265;Schweckhausen
057620000040W3270;Schönthal
057620000040W3280;Steinkuhle
057620000040W3400;Alter Markt
057620000040W3405;Alte Schulstraße
057620000040W3410;Am Bahnhof
057620000040W3420;Am Fischteich
057620000040W3430;Am Jägerpfad
057620000040W3438;Am Schloss
057620000040W3441;Am Schützenberg
057620000040W3445;Am Sportplatz
057620000040W3450;Ammerweg
057620000040W3470;Am Weißen Born
057620000040W3480;An der Bleiche
057620000040W3490;Annenweg
057620000040W3500;Auf den Ängern
057620000040W3510;Auf der Helle
057620000040W3520;Augustin-Gockel-Weg
057620000040W3530;Bachstraße
057620000040W3540;Bahnhofstraße
057620000040W3550;Bergweg
057620000040W3560;Bogenstraße
057620000040W3570;Borlinghausener Straße
057620000040W3580;Breslauer Straße
057620000040W3585;Drosselweg
057620000040W3588;Eggeblick
057620000040W3590;Eichendorffstraße
057620000040W3593;Buchfinkenweg
057620000040W3595;Falkenweg
057620000040W3600;Fölsener Straße
057620000040W3605;Forstamtsweg
057620000040W3610;Friedrich-Wilhelm-Weber-Straße
057620000040W3613;Gartenstraße
057620000040W3615;Gänsebruch
057620000040W3620;Georgsberg
057620000040W3630;Gerhart-Hauptmann-Weg
057620000040W3640;Grabenstraße
057620000040W3651;Grüner Weg
057620000040W3653;Habichtsweg
057620000040W3670;Helleweg
057620000040W3675;Hermann-Löns-Straße
057620000040W3690;Hewertweg
057620000040W3701;Hinterm Hahn
057620000040W3705;Hodesstraße
057620000040W3710;Huhechelweg
057620000040W3715;Hurst
057620000040W3720;Immanuel-Kant-Weg
057620000040W3725;Im Sültefeld
057620000040W3730;In der Lötke
057620000040W3740;Josefsweg
057620000040W3750;Karlstraße
057620000040W3760;Kirchstraße
057620000040W3770;Klosterhof
057620000040W3780;Klosterstraße
057620000040W3790;Kurze Straße
057620000040W3795;Landwehrwiese
057620000040W3800;Lange Straße
057620000040W3810;Lange Wiese
057620000040W3820;Lerchenweg
057620000040W3825;Lippertweg
057620000040W3830;Marienweg
057620000040W3840;Maschinenstraße
057620000040W3845;Mittlerer Weinberg
057620000040W3850;Mühlenstraße
057620000040W3861;Netheteich
057620000040W3865;Oberer Weinberg
057620000040W3870;Paderborner Straße
057620000040W3871;Pestalozziweg
057620000040W3872;Peter-Hille-Weg
057620000040W3875;Queckhagen
057620000040W3880;Rochusstraße
057620000040W3900;Schäferstraße
057620000040W3910;St. Johannesstraße
057620000040W3915;St. Sebastianstraße
057620000040W3920;Selle
057620000040W3930;Selleweg
057620000040W3950;Stockhof
057620000040W3960;Sültefeld
057620000040W3980;Triftweg
057620000040W3985;Unterm Weinberg
057620000040W3990;Von-Droste-Hülshoff-Weg
057620000040W4000;Viktoriastraße
057620000040W4010;Vitusstraße
057620000040W4015;Waldweg
057620000040W4020;Weißer Weg
057620000040W4025;Wiggelmissen
057620000040W4030;Wilhelmstraße
057620000040W4040;Zur Vituskapelle
057620000040W4301;Willegassen
057620000040W4302;Schwester Valentine Weg
057620000040W4303;Bahnhof
057620000040W4304;Hüssenberghof
057620000040W4305;Großenederer Weg
057620000040W4306;Reimstöcker Weg
