strassenschluessel;bezeichnung
05766000004804837;Hebbelstraße
05766000004804838;Dahlhauser Straße
05766000004804839;Ermgasser Heide
05766000004804840;Wülfersche Straße
05766000004804841;Alter Postweg
05766000004804842;Schäferweg
05766000004804843;Am Kappelbusch
05766000004804844;Schötmarsche Straße
05766000004804845;Huxhagenweg
05766000004804846;Ziegeleiweg
05766000004804847;Heipker Straße
05766000004804848;Heipker Siedlung
05766000004804849;Schackenburger Straße
05766000004804850;Roonstraße
05766000004804851;Roonsiedlung
05766000004804852;Am Räkerbrink
05766000004804854;Alte Hofstraße
05766000004804855;Kramerweg
05766000004804856;Oststraße
05766000004804857;Am Acker
05766000004804858;Hakenheider Weg
05766000004804859;Lagesche Straße
05766000004804860;Im Evenhauserholz
05766000004804861;Krentruperhagen
05766000004804880;Bielefelder Straße
05766000004804881;Zeisigweg
05766000004804882;Friedenstraße
05766000004804883;Schwalbenweg
05766000004804884;Sandweg
05766000004804885;Herforder Straße
05766000004804886;Kuckucksweg
05766000004804887;Kusen
05766000004804888;Meisenweg
05766000004804889;Nachtigallenweg
05766000004804890;Sauerländer Weg
05766000004804890;Sauerländer Weg
05766000004804891;Alter Postweg
05766000004804892;Kurze Straße
05766000004804893;Weststraße
05766000004804894;Amselweg
05766000004804895;Lerchenweg
05766000004804900;Felix-Fechenbach-Straße
05766000004804901;Am Waldbegräbnis
05766000004804910;Eckendorfer Straße
05766000004804911;Herforder Straße
05766000004804912;Schuckenhofstraße
05766000004804913;Am Plaßgraben
05766000004804914;Schuckenteichweg
05766000004804915;Am Königskamp
05766000004804916;Am Großen Feld
05766000004804917;Am Mühlenbach
05766000004804918;Hochstraße
05766000004804919;Im Dreierfeld
05766000004804920;In der Brinkheide
05766000004804921;Am Bruche
05766000004804922;Kolmarer Straße
05766000004804923;Landerweg
05766000004804924;Friedhofsweg
05766000004804925;Auf der Helle
05766000004804926;Wagentronsweg
05766000004804927;Hovedisser Straße
05766000004804928;Im Pramsiek
05766000004804929;Querweg
05766000004804930;Grasweg
05766000004804931;Bielefelder Straße
05766000004804932;Am Rottfeld
05766000004804933;Triftweg
05766000004804933;Triftweg
05766000004804934;Bachstraße
05766000004804935;Schulstraße
05766000004804936;Schackenburger Straße
05766000004804938;Holunderstraße
05766000004804939;Fliederstraße
05766000004804940;Schmiedeweg
05766000004804941;Twelenkamp
05766000004804943;Brunsheide
05766000004804944;Schlehenweg
05766000004804945;Hellbusch
05766000004804947;Edith-Stein-Weg
05766000004804948;Käthe-Kollwitz-Weg
05766000004804949;Anna-Siemsen-Weg
05766000004804950;Hedwig-Dohm-Weg
05766000004804960;Hudeweg
05766000004804961;Gimpelstraße
05766000004804962;Reiherweg
05766000004804963;Handelsstraße
05766000004804964;Milanweg
05766000004804965;Telgenweg
05766000004804966;Bussardweg
05766000004804967;Theodor-Heuss-Weg
05766000004804968;Werkstraße
05766000004804969;Alte Hövenstraße
05766000004804972;Heinrich-Lübke-Weg
05766000004804973;Gustav-Heinemann-Weg
05766000004804974;An der Hasenwiese
05766000004805100;Gewerbestraße
05766000004805101;Westring
05766000004805102;Eulenweg
05766000004805103;Bobes Feld
05766000004805104;Bruchweg
05766000004805200;Bürgermeister-Brinkmann-Weg
05766000004805201;Anne-Frank-Weg
05766000004805202;Geschwister-Scholl-Straße
05766000004805203;Paulinenstraße
05766000004805204;Sophienstraße
05766000004805205;Teutoburger Straße
05766000004805206;Zum Heimathof
05766000004805207;Pastor-Zeiß-Weg
05766000004805208;Augustenweg
05766000004805209;Margaretenweg
057660000048=2984;Bahnlinie Lage-Bielefeld
