strassenschluessel;bezeichnung
057540000012H9390;Altheide
057540000012H9395;Wahlbrink
057540000012H9400;Steinbrink
057540000012H9402;Sandforther Bach
057540000012H9405;Osterkamp
057540000012H9410;Oberste Schändliche Morgen
057540000012H9415;Neue Kamp
057540000012H9420;Mühlenteich
057540000012H9425;Mühlenhofe
057540000012H9430;Künsebecker Heide
057540000012H9435;Künsebecker Bach
057540000012H9440;Kreis Heide
057540000012H9445;Kuhkamp
057540000012H9455;Korten Kamp
057540000012H9460;Kleine Künsebecker Heide
057540000012H9465;Katzenberg
057540000012H9475;Kahlen Brink
057540000012H9485;In der Hofe
057540000012H9490;In der Großen Wiese
057540000012H9495;Im Sandfurt'schen Felde
057540000012H9500;Im Sandfeld
057540000012H9505;Im Rott
057540000012H9510;Im Felde
057540000012H9515;Howe
057540000012H9517;Hovebach
057540000012H9520;Hoppenkamp
057540000012H9525;Große Wiese
057540000012H9530;Große Künsebecker Heide
057540000012H9535;Großer Garten
057540000012H9540;Große Berg
057540000012H9550;Eschkamp
057540000012H9552;Ellerbrockgraben
057540000012H9555;Diestel
057540000012H9570;Auf der Masch
057540000012H9575;Auf dem Lod
057540000012H9580;Auf dem Kampe
057540000012H9585;Auf dem Brinke
057540000012H9600;Alte Kamp
057540000012H9605;Voßheide
057540000012H9610;Tebbenhorst
057540000012H9615;Suttheide
057540000012H9620;Suederkamp
057540000012H9625;Stockkämper Heide
057540000012H9630;Ruthebach
057540000012H9635;Rudheide
057540000012H9640;Nordbruch
057540000012H9650;Landhagen
057540000012H9655;Kölke
057540000012H9660;Kleine Haart
057540000012H9665;Kamp
057540000012H9670;Kanonenkämpe
057540000012H9675;Im Kirchesch
057540000012H9680;Im Fleer
057540000012H9685;Im Dorf
057540000012H9690;Höwelskämpe
057540000012H9695;Große Wüste
057540000012H9700;Große Wiese
057540000012H9702;Die großen Wiesen
057540000012H9705;Große Haart
057540000012H9710;Große Breede
057540000012H9715;Fleersheide
057540000012H9720;Flaßkampswiese
057540000012H9730;Die Brinkswiesen
057540000012H9735;Die Brake
057540000012H9750;Der Hörster Hagen
057540000012H9755;Bei den Schemmen
057540000012H9760;Bergwiesen
057540000012H9765;Barrelsheide
057540000012H9770;Barrelbusch
057540000012H9775;Auf dem Webel
057540000012H9780;Auf dem Esch
057540000012H9783;Vennteichsee
057540000012H9785;Tatenhausen
057540000012H9790;Steinheide
057540000012H9810;Laibach
057540000012H9815;Künsebecker Heide
057540000012H9820;Knufheide
057540000012H9825;Kettelheide
057540000012H9830;In der Hächhofe
057540000012H9835;Heidenbusch
057540000012H9840;Das Bokeler Feld
057540000012H9845;Bartelsheide
057540000012H9855;Sattelbuch
057540000012H9860;Rhedaer Bach
057540000012H9865;Mühlenteich
057540000012H9870;Mühlenbach
057540000012H9875;Masch Brok
057540000012H9880;Loddenbach
057540000012H9885;Langen Lagerheide
057540000012H9890;Künsebecker Bach
057540000012H9895;Kleigen Wiese
057540000012H9900;Im Speckhagen
057540000012H9905;Hanenbrinkerheide
057540000012H9910;Drüge Brink
057540000012H9915;Diekhäger Heide
057540000012H9917;Dallmeyer See
057540000012H9920;Brock
057540000012H9925;Brockwiesen
057540000012H9930;Barrelheide
057540000012H9935;Auf der Horst
057540000012H9940;Stockkämper Kämpe
057540000012H9945;Steinheide
057540000012H9950;Oldendorfer Feld
057540000012H9960;Hessler Feld
057540000012H9965;Hessler Berg
057540000012H9970;Hessel
057540000012H9975;Große Steinheide
057540000012H9980;Große Egge
057540000012H9985;Foßheide
057540000012H9990;Brackwede-Osnabrück
057540000012H9995;Auf dem Esch
